,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
31,Jason Reeves,Back With Me,1TK8xu9soRb6ZeXwuiZqWY,26,0.433,0.2,3,-16.514,1,0.0347,0.946,8.3e-05,0.11,0.142,139.679,audio_features,spotify:track:1TK8xu9soRb6ZeXwuiZqWY,https://api.spotify.com/v1/tracks/1TK8xu9soRb6ZeXwuiZqWY,https://api.spotify.com/v1/audio-analysis/1TK8xu9soRb6ZeXwuiZqWY,200387,4
32,Kings of Leon,Sex on Fire,0ntQJM78wzOLVeCUAW7Y45,80,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,audio_features,spotify:track:0ntQJM78wzOLVeCUAW7Y45,https://api.spotify.com/v1/tracks/0ntQJM78wzOLVeCUAW7Y45,https://api.spotify.com/v1/audio-analysis/0ntQJM78wzOLVeCUAW7Y45,203347,4
33,Eminem,Stan,4QVOTT9CM2ftSLwnYGNDjd,0,0.781,0.74,6,-5.065,0,0.208,0.0375,2.27e-06,0.449,0.527,80.056,audio_features,spotify:track:4QVOTT9CM2ftSLwnYGNDjd,https://api.spotify.com/v1/tracks/4QVOTT9CM2ftSLwnYGNDjd,https://api.spotify.com/v1/audio-analysis/4QVOTT9CM2ftSLwnYGNDjd,404427,4
34,Maroon 5,This Love,5zF2zGPkL6Ipsn9AfAK6RP,0,0.714,0.868,5,-4.596,0,0.0363,0.0551,0.0,0.0987,0.78,95.05,audio_features,spotify:track:5zF2zGPkL6Ipsn9AfAK6RP,https://api.spotify.com/v1/tracks/5zF2zGPkL6Ipsn9AfAK6RP,https://api.spotify.com/v1/audio-analysis/5zF2zGPkL6Ipsn9AfAK6RP,206200,4
35,Red Hot Chili Peppers,Snow (Hey Oh),6fgbQt13JlpN59PytgTMsA,62,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655,audio_features,spotify:track:6fgbQt13JlpN59PytgTMsA,https://api.spotify.com/v1/tracks/6fgbQt13JlpN59PytgTMsA,https://api.spotify.com/v1/audio-analysis/6fgbQt13JlpN59PytgTMsA,334667,4
36,Usher,Yeah!,2PkeVPcL32LA96cK5ySC3c,0,0.895,0.795,2,-4.693,1,0.0977,0.0219,0.0,0.0403,0.574,105.004,audio_features,spotify:track:2PkeVPcL32LA96cK5ySC3c,https://api.spotify.com/v1/tracks/2PkeVPcL32LA96cK5ySC3c,https://api.spotify.com/v1/audio-analysis/2PkeVPcL32LA96cK5ySC3c,250067,4
37,Cascada,Every time we touch,2gOlrge3YTmYPwsCGgU62K,0,0.633,0.976,8,-5.362,1,0.0519,0.00281,1.29e-05,0.382,0.493,142.027,audio_features,spotify:track:2gOlrge3YTmYPwsCGgU62K,https://api.spotify.com/v1/tracks/2gOlrge3YTmYPwsCGgU62K,https://api.spotify.com/v1/audio-analysis/2gOlrge3YTmYPwsCGgU62K,197124,4
38,Bryan Adams,When You're Gone,7p9dd71JR2ucoAuO1Sy0VZ,67,0.546,0.931,0,-6.344,1,0.0341,0.000299,2.92e-05,0.11,0.643,125.495,audio_features,spotify:track:7p9dd71JR2ucoAuO1Sy0VZ,https://api.spotify.com/v1/tracks/7p9dd71JR2ucoAuO1Sy0VZ,https://api.spotify.com/v1/audio-analysis/7p9dd71JR2ucoAuO1Sy0VZ,204893,4
39,Christina Aguilera,Genie in a Bottle,6onLnWywmbSnXDFPVY1mM6,0,0.633,0.792,1,-6.968,1,0.149,0.185,0.000185,0.152,0.918,175.795,audio_features,spotify:track:6onLnWywmbSnXDFPVY1mM6,https://api.spotify.com/v1/tracks/6onLnWywmbSnXDFPVY1mM6,https://api.spotify.com/v1/audio-analysis/6onLnWywmbSnXDFPVY1mM6,217133,4
40,Michael Jackson,Black or White - Remastered Version,2PdFSWL1Zpg0lRnujLnNJJ,46,0.52,0.86,9,-5.639,1,0.0817,0.118,0.072,0.072,0.878,114.999,audio_features,spotify:track:2PdFSWL1Zpg0lRnujLnNJJ,https://api.spotify.com/v1/tracks/2PdFSWL1Zpg0lRnujLnNJJ,https://api.spotify.com/v1/audio-analysis/2PdFSWL1Zpg0lRnujLnNJJ,256280,4
41,Nirvana,Come As You Are,0MKGH8UMfCnq5w7nG06oM5,77,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,audio_features,spotify:track:0MKGH8UMfCnq5w7nG06oM5,https://api.spotify.com/v1/tracks/0MKGH8UMfCnq5w7nG06oM5,https://api.spotify.com/v1/audio-analysis/0MKGH8UMfCnq5w7nG06oM5,218920,4
42,Sixpence None The Richer,Kiss Me,4pZ2aqPV39Gw3FuHrWKWnM,0,0.529,0.741,3,-5.661,1,0.0268,0.116,1.23e-06,0.0736,0.455,100.004,audio_features,spotify:track:4pZ2aqPV39Gw3FuHrWKWnM,https://api.spotify.com/v1/tracks/4pZ2aqPV39Gw3FuHrWKWnM,https://api.spotify.com/v1/audio-analysis/4pZ2aqPV39Gw3FuHrWKWnM,205240,4
43,The Verve,Bitter Sweet Symphony,5yEPxDjbbzUzyauGtnmVEC,1,0.389,0.889,9,-6.546,1,0.0442,0.0415,0.0,0.463,0.524,171.121,audio_features,spotify:track:5yEPxDjbbzUzyauGtnmVEC,https://api.spotify.com/v1/tracks/5yEPxDjbbzUzyauGtnmVEC,https://api.spotify.com/v1/audio-analysis/5yEPxDjbbzUzyauGtnmVEC,358427,4
44,The Goo Goo Dolls,Iris,6Qyc6fS4DsZjB2mRW9DsQs,78,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,audio_features,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,https://api.spotify.com/v1/tracks/6Qyc6fS4DsZjB2mRW9DsQs,https://api.spotify.com/v1/audio-analysis/6Qyc6fS4DsZjB2mRW9DsQs,289533,3
45,Lou Bega,Mambo No. 5 (A Little Bit of...),5lA6mFOvaiienokVbTZEQx,0,0.607,0.802,5,-6.849,0,0.403,0.107,0.0,0.305,0.901,174.201,audio_features,spotify:track:5lA6mFOvaiienokVbTZEQx,https://api.spotify.com/v1/tracks/5lA6mFOvaiienokVbTZEQx,https://api.spotify.com/v1/audio-analysis/5lA6mFOvaiienokVbTZEQx,219600,4
46,Coolio,Gangsta's Paradise (feat. L.V.),3u9fHuAtjMY1RW2mZfO4Cf,0,0.641,0.63,8,-6.393,1,0.0521,0.0372,0.0,0.4,0.415,79.955,audio_features,spotify:track:3u9fHuAtjMY1RW2mZfO4Cf,https://api.spotify.com/v1/tracks/3u9fHuAtjMY1RW2mZfO4Cf,https://api.spotify.com/v1/audio-analysis/3u9fHuAtjMY1RW2mZfO4Cf,241933,4
47,Dire Straits,Walk Of Life,4tyl9OMKMG8F2L0RUYQMH3,0,0.461,0.918,4,-8.507,1,0.0959,0.405,0.00033,0.126,0.802,172.435,audio_features,spotify:track:4tyl9OMKMG8F2L0RUYQMH3,https://api.spotify.com/v1/tracks/4tyl9OMKMG8F2L0RUYQMH3,https://api.spotify.com/v1/audio-analysis/4tyl9OMKMG8F2L0RUYQMH3,249960,4
48,Starship,We Built This City,7aHRctaQ7vjxVTVmY8OhAA,2,0.661,0.908,5,-4.897,1,0.039,0.052,0.0,0.0708,0.656,144.091,audio_features,spotify:track:7aHRctaQ7vjxVTVmY8OhAA,https://api.spotify.com/v1/tracks/7aHRctaQ7vjxVTVmY8OhAA,https://api.spotify.com/v1/audio-analysis/7aHRctaQ7vjxVTVmY8OhAA,296080,4
49,Alphaville,Forever Young,4S1VYqwfkLit9mKVY3MXoo,73,0.489,0.483,9,-9.466,0,0.0275,0.42,0.0028,0.236,0.333,136.822,audio_features,spotify:track:4S1VYqwfkLit9mKVY3MXoo,https://api.spotify.com/v1/tracks/4S1VYqwfkLit9mKVY3MXoo,https://api.spotify.com/v1/audio-analysis/4S1VYqwfkLit9mKVY3MXoo,226706,4
50,Michael Jackson,Billie Jean,5ChkMS8OtdzJeqyybCc9R5,82,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,audio_features,spotify:track:5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5,293827,4
51,Creedence Clearwater Revival,Have You Ever Seen The Rain,5XE8c07vbpQBUriwybOHtd,65,0.773,0.543,0,-9.97,1,0.0292,0.093,5.63e-06,0.175,0.802,115.997,audio_features,spotify:track:5XE8c07vbpQBUriwybOHtd,https://api.spotify.com/v1/tracks/5XE8c07vbpQBUriwybOHtd,https://api.spotify.com/v1/audio-analysis/5XE8c07vbpQBUriwybOHtd,160000,4
52,Metallica,Hardwired,01JszWYuKqRjddPQ4creVF,0,0.13,0.991,11,-3.126,1,0.0604,1.15e-05,0.00412,0.225,0.505,185.364,audio_features,spotify:track:01JszWYuKqRjddPQ4creVF,https://api.spotify.com/v1/tracks/01JszWYuKqRjddPQ4creVF,https://api.spotify.com/v1/audio-analysis/01JszWYuKqRjddPQ4creVF,191332,4
53,Selena Gomez,Kill Em With Kindness,1QNoKVgA758HFLu3TW2q7R,60,0.757,0.884,10,-5.488,0,0.0404,0.00795,5.87e-05,0.0973,0.398,120.012,audio_features,spotify:track:1QNoKVgA758HFLu3TW2q7R,https://api.spotify.com/v1/tracks/1QNoKVgA758HFLu3TW2q7R,https://api.spotify.com/v1/audio-analysis/1QNoKVgA758HFLu3TW2q7R,217907,4
